Gold_Close,DXY,Sunspot,Kp,Quake_Count,Target,SHAP_Gold_Close,SHAP+_Gold_Close,Q-SHAP+_Gold_Close,SHAP_DXY,SHAP+_DXY,Q-SHAP+_DXY,SHAP_Sunspot,SHAP+_Sunspot,Q-SHAP+_Sunspot,SHAP_Kp,SHAP+_Kp,Q-SHAP+_Kp,SHAP_Quake_Count,SHAP+_Quake_Count,Q-SHAP+_Quake_Count
1,1,0,0,0,1,-0.1687628,-0.1584053635597229,0.20434704091279576,-0.17992932,-0.17589956521987915,0.15326038099906725,0.00848333,-0.05196699500083923,0.051073237251689774,0.0,0.0,-0.026294635961923718,0.07109935,-0.03083181381225586,0.2303058069132855
1,1,0,0,0,0,-0.1687628,-0.1584053635597229,0.20434704091279576,-0.17992932,-0.17589956521987915,0.15326038099906725,0.00848333,-0.05196699500083923,0.051073237251689774,0.0,0.0,-0.026294635961923718,0.07109935,-0.03083181381225586,0.2303058069132855
1,1,1,0,1,1,-0.117236964,-0.07441115379333496,0.03752143299604149,-0.13893072,-0.10426145792007446,0.028141093166395847,0.05220504,0.04989504814147949,-0.13410371389214049,0.0,0.0,-0.004303686277890517,0.012069417,0.07103022933006287,0.045128855769455245
1,1,0,0,1,1,-0.16903639,-0.15293395519256592,0.19148289393468088,-0.13125403,-0.08981192111968994,0.1436122644504394,-0.06530295,0.04989504814147949,-0.13410371389214049,0.0,0.0,-0.026267791417720066,-0.030170707,-0.03083181381225586,0.2303058069132855
1,1,1,0,0,1,-0.16086777,-0.17420896887779236,-0.014289992378373029,-0.1937616,-0.19922682642936707,-0.01071750129877258,-0.058528423,-0.05196699500083923,0.051073237251689774,0.0,0.0,0.0030877192558721456,-0.0711803,0.07103022933006287,0.045128855769455245
1,1,1,0,1,0,-0.117236964,-0.07441115379333496,0.03752143299604149,-0.13893072,-0.10426145792007446,0.028141093166395847,0.05220504,0.04989504814147949,-0.13410371389214049,0.0,0.0,-0.004303686277890517,0.012069417,0.07103022933006287,0.045128855769455245
0,0,1,0,1,0,0.10920228,0.00411832332611084,0.0052132761929166715,0.13966358,-0.025731980800628662,-0.004167063636728974,-0.040147573,-0.05725133419036865,0.17565879765343834,0.0,0.0,0.0077450909685701785,0.0013352085,0.04800313711166382,-0.05911305745278522
0,1,0,0,1,1,0.3244182,-0.15293395519256592,0.19148289393468088,-0.09163162,-0.05435556173324585,0.15163398697021047,0.014628034,-0.028627753257751465,0.019857747046498897,0.0,0.0,-0.0262901107464395,-0.025632996,-0.03630322217941284,0.2431699538914004
0,1,0,0,1,1,0.3244182,-0.15293395519256592,0.19148289393468088,-0.09163162,-0.05435556173324585,0.15163398697021047,0.014628034,-0.028627753257751465,0.019857747046498897,0.0,0.0,-0.0262901107464395,-0.025632996,-0.03630322217941284,0.2431699538914004
1,1,1,0,0,0,-0.16086777,-0.17420896887779236,-0.014289992378373029,-0.1937616,-0.19922682642936707,-0.01071750129877258,-0.058528423,-0.05196699500083923,0.051073237251689774,0.0,0.0,0.0030877192558721456,-0.0711803,0.07103022933006287,0.045128855769455245
