Feature,SHAP,SHAP+,Q-SHAP+
Gold_Close,0.16564816,0.10274753029699679,0.10904927606699738
DXY,0.15637809,0.09260780833385608,0.08071036071047265
Sunspot,0.042139445,0.045332118316932964,0.08896789286640226
Kp,0.0,0.0,0.014160577347587607
Quake_Count,0.039060563,0.05336506278426559,0.13301699613968848
