Metric,SHAP_Mean,SHAP_SD,Q-SHAP+_Mean,Q-SHAP+_SD
Faithfulness,20.0,7.68,28.33,8.99
Stability,80.03,3.93,83.98,2.75
Responsiveness,5.88,1.92,8.52,5.46
Clarity,4.53,0.24,4.64,0.27
