Datetime,Close,Volume,A/D,ADX,MACD,RSI,Next_Close,Diff,Target
2022-11-16 18:30:00+00:00,3963.580078125,193458000,-266871147.76404172,0.0,-3.684175980240525,43.28784823998542,3975.550048828125,11.969970703125,1
2022-11-16 19:30:00+00:00,3959.449951171875,249724000,-335720893.68922424,0.0,-4.933122930322952,42.040627092038825,3978.39990234375,18.949951171875,1
2022-11-16 20:30:00+00:00,3959.780029296875,373136000,-468179409.5137232,22.20252047813305,-5.829093676908542,42.18399882807373,3979.3798828125,19.599853515625,1
2022-11-17 14:30:00+00:00,3924.8798828125,0,-468179409.5137232,24.296180954166726,-9.248693910999464,32.913399743951715,3989.340087890625,64.460205078125,0
2022-11-17 15:30:00+00:00,3917.4599609375,250547038,-445236492.7047275,26.240294253340856,-12.414372262084271,31.33662712450031,3990.219970703125,72.760009765625,0
2022-11-17 16:30:00+00:00,3935.510009765625,221932680,-326202331.4518856,26.921006813541982,-13.313240325652714,38.99326081132554,3999.5,63.989990234375,0
2022-11-17 17:30:00+00:00,3949.219970703125,202969885,-220897078.52662206,26.77005287189775,-12.772091749951414,44.092714615111255,4003.64990234375,54.429931640625,0
2022-11-17 18:30:00+00:00,3937.469970703125,203280000,-359193409.95953727,26.62988135465668,-13.139885979815517,40.934634798925515,4023.56005859375,86.090087890625,0
2022-11-17 19:30:00+00:00,3925.929931640625,247419000,-496291507.04133874,26.937697633020026,-14.198874478514426,38.052010963039535,4025.9599609375,100.030029296875,0
2022-11-17 20:30:00+00:00,3947.6201171875,325948000,-194961141.5436806,26.635401731786605,-13.136484575140457,45.780478786310155,4012.68994140625,65.06982421875,0
2022-11-18 14:30:00+00:00,3958.199951171875,0,-194961141.5436806,24.733145168346226,-11.310448924738466,49.115163962180254,4011.1298828125,52.929931640625,0
2022-11-18 15:30:00+00:00,3959.919921875,243676049,-39769709.81278774,23.083978005647367,-9.613694567909533,49.6572435223192,4028.669921875,68.75,0
2022-11-18 16:30:00+00:00,3943.5,214907052,-140545312.13298017,21.98824658884941,-9.484622163637141,44.7554470765568,4029.0400390625,85.5400390625,0
2022-11-18 17:30:00+00:00,3952.300048828125,179641113,36478270.44300699,20.970781701822734,-8.57341200119572,47.73325575629895,4027.860107421875,75.56005859375,0
2022-11-18 18:30:00+00:00,3949.469970703125,183284000,121390311.06800699,19.98399592263428,-7.987559422346294,46.858486302694736,4029.89990234375,80.429931640625,0
2022-11-18 19:30:00+00:00,3963.889892578125,225194000,345863755.8795364,18.640585946402698,-6.287224637807867,51.71407887969619,4027.909912109375,64.02001953125,0
2022-11-18 20:30:00+00:00,3967.1201171875,350361000,391307426.64033145,17.947435123169456,-4.625722491477973,52.755471121601296,4029.9599609375,62.83984375,0
2022-11-21 14:30:00+00:00,3944.1298828125,0,391307426.64033145,16.8862309903137,-5.10523981994902,45.2717667778541,3998.0400390625,53.91015625,0
2022-11-21 15:30:00+00:00,3941.669921875,284135605,356859581.0625814,16.09786080191242,-5.618986863538339,44.54364443427421,3989.860107421875,48.190185546875,0
2022-11-21 16:30:00+00:00,3941.489990234375,227963018,424505523.43534297,15.552561594797677,-5.971814713881486,44.48728367744948,3990.27001953125,48.780029296875,0
2022-11-21 17:30:00+00:00,3954.3798828125,195010722,562657778.263179,14.458033539770156,-5.151938382830849,49.42424666472914,3982.949951171875,28.570068359375,1
2022-11-21 18:30:00+00:00,3951.830078125,174926000,440940594.5520689,13.647293873503141,-4.654276806420057,48.505282177514815,3964.669921875,12.83984375,1
2022-11-21 19:30:00+00:00,3947.510009765625,200390000,341749639.71406007,12.750682723092396,-4.555951659194761,46.91370823564462,3956.81005859375,9.300048828125,1
2022-11-21 20:30:00+00:00,3950.25,297618000,302334954.4798442,11.851418001508607,-4.208421890857608,48.07739825613293,3964.56005859375,14.31005859375,1
